;Até;6 585,00;27,78%;;416,70;;;;;;34,29;;;21,5%
;Até;6 954,00;28,02%;;432,51;;;;;;34,29;;;21,8%
;Até;21 411,00;29,24%;;517,35;;;;;;34,29;;;26,8%
;Superior a;21 411,00;32,78%;;1 275,30;;;;;;34,29;;;n.a.
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela III - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Casado, único titular;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;997,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;1 099,00;8,72%;;8,72%;x;1,35;x ( ;1 819,64;- R );42,86;;;1,0%
;Até;1 141,00;8,72%;;84,84;;;;;;42,86;;;1,3%
;Até;1 857,00;10,33%;;103,22;;;;;;42,86;;;4,8%
;Até;2 485,00;10,91%;;114,00;;;;;;42,86;;;6,3%
;Até;3 331,00;12,36%;;150,04;;;;;;42,86;;;7,9%
;Até;3 895,00;14,04%;;206,01;;;;;;42,86;;;8,8%
;Até;6 673,00;15,95%;;280,41;;;;;;42,86;;;11,7%
;Até;6 878,00;22,13%;;692,81;;;;;;42,86;;;12,1%
;Até;21 411,00;24,93%;;885,40;;;;;;42,86;;;20,8%
;Superior a;21 411,00;32,78%;;2 566,17;;;;;;42,86;;;n.a.
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela IV - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Não casado ou casado dois titulares sem dependentes - Pessoa com deficiência;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;;;;Taxa efetiva mensal de retenção no limite do escalão
;Até;2 053,00;0,00%;;0,00;;;;;;;;;0,0%
;Até;2 591,00;14,90%;;305,90;;;;;;;;;3,1%
;Até;3 622,00;18,63%;;402,55;;;;;;;;;7,5%
;Até;4 668,00;22,89%;;556,85;;;;;;;;;11,0%
;Até;7 066,00;26,16%;;709,50;;;;;;;;;16,1%
;Até;7 168,00;27,52%;;805,60;;;;;;;;;16,3%
;Até;21 625,00;30,58%;;1 024,95;;;;;;;;;25,8%
;Superior a;21 625,00;32,78%;;1 500,70;;;;;;;;;n.a
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela V - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Não casado com um ou mais dependentes - Pessoa com deficiência;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;2 345,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;2 591,00;13,82%;;324,08;;;;;;42,86;;;1,3%
;Até;3 622,00;18,63%;;448,71;;;;;;42,86;;;6,2%
;Até;4 668,00;22,89%;;603,01;;;;;;42,86;;;10,0%
;Até;7 066,00;26,16%;;755,66;;;;;;42,86;;;15,5%
;Até;7 168,00;27,52%;;851,76;;;;;;42,86;;;15,6%
;Até;21 625,00;30,58%;;1 071,11;;;;;;42,86;;;25,6%
;Superior a;21 625,00;32,78%;;1 546,86;;;;;;42,86;;;n.a
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela VI - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Casado dois titulares com um ou mais dependentes - Pessoa com deficiência;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;2 019,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;2 528,00;15,66%;;316,18;;;;;;21,43;;;3,2%
;Até;3 049,00;17,68%;;367,25;;;;;;21,43;;;5,6%
;Até;4 272,00;17,81%;;371,22;;;;;;21,43;;;9,1%
;Até;5 734,00;22,80%;;584,40;;;;;;21,43;;;12,6%
;Até;7 066,00;25,95%;;765,03;;;;;;21,43;;;15,1%
;Até;7 550,00;27,52%;;875,97;;;;;;21,43;;;15,9%
;Até;21 625,00;30,58%;;1 107,00;;;;;;21,43;;;25,5%
;Superior a;21 625,00;32,78%;;1 582,75;;;;;;21,43;;;n.a
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Tabela VII - Trabalho dependente;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Casado, único titular - Pessoa com deficiência;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por dependente (€);;;Taxa efetiva mensal de retenção no limite do escalão
;Até;3 061,00;0,00%;;0,00;;;;;;0,00;;;0,0%
;Até;4 668,00;8,83%;;270,29;;;;;;42,86;;;3,0%
;Até;7 066,00;13,34%;;480,82;;;;;;42,86;;;6,5%
;Até;7 168,00;25,03%;;1 306,84;;;;;;42,86;;;6,8%
;Até;21 625,00;28,10%;;1 526,90;;;;;;42,86;;;21,0%
;Superior a;21 625,00;32,78%;;2 538,95;;;;;;42,86;;;n.a
;;;;;;;;;;;;;;
;Fórmula: (Remuneração mensal x Taxa) - Parcela a abater - (Parcela adicional a abater x nº dependentes).;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
