;Fórmula a aplicar: Remuneração x Taxa - Parcela a abater - Parcela adicional a abater por deficiente das Forças Armadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela XI - Pensões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Casado, único titular - Pessoa com deficiência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por Deficiente das Forças Armadas (€);;Taxa efetiva mensal de retenção no limite do escalão;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 257,00;0,00%;;0,00;;;;;;0,00;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 782,00;18,22%;;411,23;;;;;;36,38;;3,4%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;3 359,00;23,73%;;564,52;;;;;;36,38;;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;4 074,00;30,17%;;780,84;;;;;;36,38;;11,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;6 266,00;36,37%;;1 033,43;;;;;;36,38;;19,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;18 169,00;46,97%;;1 697,63;;;;;;36,38;;37,6%;;;;;;;;;;;;;;;;;;;;;;;;;
;Superior a;18 169,00;53,00%;;2 793,23;;;;;;36,38;;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fórmula a aplicar: Remuneração x Taxa - Parcela a abater - Parcela adicional a abater por deficiente das Forças Armadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
